"rep_num","Arc","Egr2","Nr4a1","center_x","center_y"
1,8,4,15,3019.07870555334,45.8675589292849
1,1,0,0,2631.9210199005,62.0914179104478
1,14,8,10,3773.37715952434,101.172986313664
1,4,1,1,4018.8934116242,93.7716958598726
1,27,1,7,3709.12412587413,104.294483294483
1,4,1,0,2538.01782319392,89.1038498098859
1,5,0,3,4273.09400406504,111.664380081301
1,1,0,1,3909.01670441676,117.892695356738
1,1,0,0,4371.86397415186,131.742164781906
1,5,0,0,3646.25269541779,136.967879604672
1,1,0,2,4663.42596541104,136.425017768301
1,13,3,7,4194.92675838016,139.971710908739
1,8,0,0,4852.2630307909,157.103642584021
1,1,0,0,4714.02213923713,161.186716457722
1,6,1,7,3335.38796212804,158.798467087466
1,0,0,1,2546.56497622821,167.985736925515
1,4,0,0,3686.8607703281,187.100713266762
1,7,0,0,3886.40641455242,198.169698420297
1,3,0,0,4075.86855968136,198.938455608377
1,4,0,0,3312.00572139303,217.254975124378
1,5,0,0,3253.84755403868,221.677758816837
1,2,1,1,3986.08597185576,228.065963060686
1,1,0,0,3921.5778799351,236.99594375338
1,7,7,3,2031.43600867679,231.431887201735
1,3,1,0,3473.29332773815,250.296265211918
1,10,4,15,3079.53910343489,253.383660003881
1,0,0,2,3404.09395718886,268.61981435878
1,1,0,1,2504.45803593404,292.547624907704
1,4,1,0,4120.95580749653,298.775566867191
1,1,0,1,3589.20619860848,298.767868437698
1,1,1,0,4424.00118183353,310.092520682087
1,7,12,5,3493.66743993372,318.363545981773
1,1,2,1,1945.79100397614,332.334244532803
1,4,0,2,3614.99414141414,354.032121212121
1,0,0,1,3713.586934923,346.331594634873
1,36,12,19,3299.00866307656,350.969796300632
1,3,0,1,5368.45626945938,361.260543447495
1,20,1,5,2066.57728894174,371.915576694411
1,2,1,5,5463.18208753069,383.450689917887
1,2,0,1,2468.36882893226,384.658295063146
1,1,3,2,2251.64166494952,375.768596744282
1,2,0,0,3111.46183699871,378.847089262613
1,4,2,0,5980.30324909747,375.377858002407
1,0,0,2,5559.57121986852,389.734477720964
1,2,1,0,5769.30157593123,390.587034383954
1,2,1,2,4084.23625905411,409.933958244568
1,2,0,2,6095.35398930905,407.391209661453
1,0,0,1,4677.78687102371,414.238577212261
1,0,0,0,3699.08444552293,425.290948798835
1,1,0,18,3754.62063065265,415.91077976045
1,0,2,0,3052.99748858447,417.371689497717
1,2,1,1,5840.15978422619,422.867373511905
1,0,1,2,2331.74278215223,432.30249343832
1,3,0,0,6227.20522250828,432.978668628172
1,7,0,0,2802.94270941055,448.601034126163
1,0,1,1,2893.9021894823,446.956824227542
1,2,0,0,3513.46265684127,455.236805417248
1,3,2,1,6295.38099926163,453.171794240709
1,0,0,0,2513.05846466701,454.385358413828
1,0,0,1,3383.89040048915,470.578874961785
1,1,1,0,5980.71610169491,482.907384987893
1,6,3,1,1777.35784114053,482.856415478615
1,0,2,0,2375.27353356178,505.522878451925
1,1,2,0,4858.01202046036,495.209718670077
1,7,1,2,3081.47072599532,498.391803278689
1,2,0,1,3017.2447301855,501.647344013491
1,7,0,0,5259.12193070972,500.652707702657
1,0,0,0,2116.74614197531,512.321759259259
1,2,0,2,4496.62793176972,515.365031982942
1,16,9,2,3150.86117854778,512.116530567204
1,10,9,1,4650.9462962963,518.842222222222
1,4,0,0,1903.42079395085,521.67561436673
1,26,0,9,5046.46347941567,530.285145133751
1,35,17,18,6192.95282344532,529.937574457946
1,9,0,4,3889.96881862099,532.472771190162
1,0,1,10,2948.13655030801,531.21704312115
1,1,0,1,3819.82321354812,534.239363899215
1,5,0,2,4254.45764137061,544.052764347278
1,3,0,0,6425.51078610603,543.29268738574
1,12,1,2,3473.82051925248,536.872695346795
1,11,1,0,3662.337244284,544.404332129964
1,0,0,1,5567.67897569122,550.766004824643
1,5,0,0,4772.8370644345,552.798131204983
1,33,9,7,1996.54057572689,551.916244756256
1,9,3,1,3605.48745837958,565.678579356271
1,4,1,1,6490.54585057722,565.726639076454
1,6,0,0,3713.91921263072,572.391224113184
1,3,2,5,3550.97686375321,570.232530965179
1,5,0,1,4892.92909160598,580.894403986202
1,4,0,9,5457.81396226415,590.145660377358
1,0,0,0,1822.90321678322,586.801958041958
1,0,0,0,6286.28971765697,585.3198482933
1,7,1,0,1689.93771357564,583.934917676297
1,1,0,0,5819.88038817423,598.03340103814
1,10,9,0,2721.60577600376,599.275651561399
1,12,1,29,3045.46020369672,600.720482836665
1,4,1,0,4707.20901475868,607.078380534503
1,2,2,0,5733.39573934837,612.902756892231
1,13,1,3,2503.85465991515,605.833857944437
1,1,0,2,4823.75266214908,610.909728944821
1,4,1,1,6096.45441537204,617.914758789861
1,0,1,0,5071.53115264798,624.100934579439
1,11,0,10,3115.42210054754,626.106022896964
1,1,0,0,5012.62964180085,626.01511666119
1,3,0,8,2095.42744916821,629.072319778189
1,13,7,7,1897.52761394102,629.365147453083
1,9,0,0,1660.78052256532,644.589548693587
1,3,5,0,6240.91630591631,640.018759018759
1,0,0,0,1557.04945147679,648.129789029536
1,8,6,15,2440.6276270149,652.008161599673
1,0,1,0,4055.87728990986,647.845594649607
1,3,2,1,2353.11316306483,654.498428290766
1,5,0,0,5904.78524617711,672.290707444127
1,20,3,0,2986.27051855433,659.463556146501
1,2,0,0,4530.83768656716,653.471315298507
1,5,3,6,6642.77542548775,668.457866334579
1,6,0,6,2637.06103542234,663.111898274296
1,13,3,5,5182.91290146979,664.950462710942
1,1,0,0,6161.7649533565,672.828059264679
1,1,0,0,4491.53099263112,682.989596879064
1,0,1,0,4959.7579540878,682.854007249295
1,2,2,9,3777.27772126144,701.36500508647
1,2,0,0,3620.04448310139,691.384691848907
1,4,0,0,4664.77136514983,680.8512763596
1,1,2,4,3842.61484756807,702.749127298115
1,1,0,0,3414.60531605986,698.99218226491
1,0,0,0,4695.62689486553,706.152567237164
1,3,0,1,5680.18500635324,706.265311308767
1,0,1,2,5260.86122692079,708.993448481239
1,1,0,5,2180.80658724597,710.274935762672
1,4,0,2,4292.16525364837,707.17192494788
1,1,0,0,1597.00971877585,716.590777502068
1,0,0,1,6386.09280532044,714.66807738815
1,9,0,2,2712.09572599532,727.938524590164
1,4,0,3,3239.91214424607,740.24624359201
1,1,2,4,5004.12572784128,736.726116023291
1,0,1,2,6485.61209744013,732.66701073493
1,24,11,8,3721.55616378367,734.108605211298
1,1,0,0,5975.4549941928,738.306039488966
1,0,0,0,6129.2429638139,742.582423894314
1,1,0,0,4165.84727090636,743.794441662494
1,0,1,0,6354.68675455116,748.736660389203
1,5,1,0,3586.27513227513,755.454008954009
1,1,1,2,2223.77139272271,761.053450439147
1,1,1,2,5858.96892479801,761.675989227263
1,9,0,0,1414.84276437848,761.633580705009
1,2,1,1,4041.44100434208,763.388144232585
1,1,0,0,2479.90321662397,774.612012524908
1,3,0,3,2114.05513211382,758.753302845528
1,1,1,11,3000.51841184941,767.004525817733
1,2,0,0,1360.40806492518,772.11488714177
1,13,0,1,4882.65477386935,776.772194304858
1,2,0,0,1679.49682080925,760.243063583815
1,6,3,7,4409.58598432457,777.036191793453
1,3,1,3,3924.30246615087,777.633220502901
1,0,0,0,4090.64860014358,785.077889447236
1,0,0,0,7185.50054884742,782.790340285401
1,5,0,2,2683.75729964796,787.690619175813
1,1,1,2,4978.38210290828,792.243400447427
1,28,6,13,2162.39260394712,795.152136424602
1,0,0,0,1678.72630208333,809.862239583333
1,10,1,16,2418.23315325562,802.106624964458
1,4,0,0,3737.38794854435,804.090724441435
1,1,2,2,3053.51502145923,799.218631658672
1,9,0,2,5322.83309805625,805.323705071126
1,8,7,10,3472.31216931217,802.862745098039
1,2,0,4,3337.8479981378,806.401070763501
1,3,0,1,5024.45883119705,812.727134477515
1,2,2,4,1989.73799226041,817.139084907808
1,3,0,2,6300.11847672779,822.466854724965
1,2,1,3,5718.33645078326,819.35538929156
1,3,0,1,1489.96882748849,812.965639390719
1,16,9,7,2294.29612850082,823.435337726524
1,1,0,1,6163.70154867257,812.297345132743
1,0,0,2,3215.9730619575,823.035019455253
1,4,1,0,4684.34828564063,827.974477958237
1,2,1,2,5667.2139346632,823.85573865279
1,6,0,1,7116.81111111111,830.663799283154
1,17,3,7,6491.27102803738,840.63056624519
1,4,0,2,3840.53299120235,844.205828445748
1,0,0,0,1894.92073335131,845.570234564573
1,4,2,1,4112.59760045706,848.573033707865
1,4,1,1,2664.37946040035,851.981143022918
1,10,0,1,3068.29914902902,857.180449487235
1,10,3,0,3629.11973743775,852.784517881394
1,1,1,0,5434.84375586854,850.627605633803
1,0,0,0,5659.98550724638,872.38146021329
1,1,1,0,4947.41801041925,864.684445547011
1,5,0,0,1790.25357790768,866.383592017738
1,10,1,4,1581.36498786408,868.126516990291
1,5,0,1,6171.27522567703,880.994583751254
1,1,0,0,3319.47962690231,871.923253150057
1,7,1,0,4192.15668296659,874.256316218419
1,0,0,0,6030.51200369344,880.195290858726
1,0,0,0,1222.84493150685,892.15095890411
1,0,0,0,4532.58348230247,882.680729352878
1,2,0,0,2363.88127778693,888.697842911247
1,0,0,1,7377.56512735556,884.819838475875
1,11,1,6,6718.51078636047,890.669682208304
1,8,2,0,2040.75423514539,890.896333754741
1,11,0,6,1481.29112155468,885.616918582497
1,2,1,0,5458.12490724709,908.046005441504
1,1,0,2,4251.27055630936,892.594029850746
1,4,1,5,3236.54433611885,889.425719591458
1,21,8,4,5862.95891065456,910.072145246058
1,4,2,1,2814.69429943621,913.563792023387
1,0,0,3,3902.22836130492,911.195926833868
1,2,0,1,3812.40482076638,912.690358467244
1,19,8,19,2873.72043230016,922.331769983687
1,2,1,4,6476.40402567094,918.109393232205
1,3,1,0,3212.64753218884,934.186158798283
1,0,3,4,4298.59208206443,931.942619009457
1,2,2,0,6429.67009791614,930.698970625157
1,14,0,7,6640.53023476405,928.23405264406
1,1,0,0,2509.41011929247,930.048539695598
1,0,0,0,2550.83097686375,937.504498714653
1,5,2,2,2940.95209460814,933.234315494087
1,14,5,5,7296.22958297133,932.569070373588
1,1,3,0,1844.18739109773,936.532868683669
1,5,0,1,6850.96664003196,935.699560527367
1,7,0,1,4550.805673053,940.611346105997
1,1,2,3,6298.62127742947,941.860501567398
1,4,4,1,2680.83122484186,946.139160437033
1,3,0,0,5728.50456037942,951.379970813572
1,1,0,0,1946.93812300169,955.905585856686
1,1,1,0,1121.15511875512,939.781490581491
1,0,0,0,7211.44561815336,971.928794992175
1,6,2,2,6774.81351351351,971.197683397683
1,4,0,1,1739.79528130671,974.235027223231
1,0,0,2,1082.52946650124,977.80800248139
1,33,4,23,2223.07341200972,980.791825754946
1,3,1,4,7375.38953369986,977.732437385461
1,18,2,4,5979.51882623299,979.081845501149
1,1,1,1,2495.67798782442,982.693367510413
1,10,0,0,6924.95499235307,981.407909110771
1,2,0,6,1581.12410566868,975.648871766648
1,13,0,2,4096.71025850977,983.404140835185
1,1,0,0,1661.21408674891,987.598089932352
1,8,2,4,6413.18009669621,998.44762288477
1,0,4,2,1443.36612253551,1000.18210727157
1,2,0,0,1692.04295246038,1014.98290241868
1,13,5,2,3030.09583249446,990.616066035837
1,1,1,2,1506.3612565445,1003.51711639146
1,1,0,1,1156.26417135439,1020.81782778018
1,0,0,0,1070.18247745982,1028.39239513916
1,28,8,2,4677.67020886772,1027.80688897032
